Año,zona_geografica,Tipo de delito,Total_Anual
2022,AMG,Fraude,6884
2022,AMG,Lesiones,6640
2022,AMG,Daño a la propiedad,3606
2022,AMG,Abuso sexual,2368
2022,AMG,Homicidio,1722
2022,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,1299
2022,AMG,Narcomenudeo,1177
2022,AMG,Abuso de confianza,1114
2022,AMG,Despojo,772
2022,AMG,Falsificación,709
2022,AMG,Otros delitos que atentan contra la libertad personal,678
2022,AMG,Otros delitos contra la familia,580
2022,AMG,Extorsión,415
2022,AMG,Violación simple,355
2022,AMG,Delitos cometidos por servidores públicos,285
2022,AMG,Acoso sexual,217
2022,AMG,Allanamiento de morada,152
2022,AMG,Falsedad,98
2022,AMG,Corrupción de menores,84
2022,AMG,Hostigamiento sexual,62
2022,AMG,Contra el medio ambiente,41
2022,AMG,Violación equiparada,38
2022,AMG,Feminicidio,24
2022,AMG,Secuestro,19
2022,AMG,Trata de personas,5
2022,AMG,Evasión de presos,4
2022,AMG,Aborto,2
2022,AMG,Otros delitos contra la sociedad,2
2022,AMG,Electorales,0
2022,AMG,Incesto,0
2022,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2022,AMG,Otros delitos contra el patrimonio,0
2022,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2022,AMG,Rapto,0
2022,AMG,Tráfico de menores,0
2022,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2022,Interior,Robo,6822
2022,Interior,Lesiones,4547
2022,Interior,Violencia familiar,3648
2022,Interior,Daño a la propiedad,3403
2022,Interior,Amenazas,2349
2022,Interior,Fraude,1866
2022,Interior,Otros delitos del Fuero Común,1377
2022,Interior,Homicidio,925
2022,Interior,Abuso sexual,903
2022,Interior,Despojo,670
2022,Interior,Falsificación,587
2022,Interior,Otros delitos contra la familia,436
2022,Interior,Abuso de confianza,384
2022,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,292
2022,Interior,Extorsión,245
2022,Interior,Otros delitos que atentan contra la libertad personal,187
2022,Interior,Narcomenudeo,145
2022,Interior,Violación simple,126
2022,Interior,Delitos cometidos por servidores públicos,120
2022,Interior,Acoso sexual,103
2022,Interior,Allanamiento de morada,101
2022,Interior,Falsedad,58
2022,Interior,Hostigamiento sexual,29
2022,Interior,Corrupción de menores,25
2022,Interior,Feminicidio,17
2022,Interior,Contra el medio ambiente,8
2022,Interior,Aborto,3
2022,Interior,Secuestro,3
2022,Interior,Violación equiparada,3
2022,Interior,Trata de personas,2
2022,Interior,Tráfico de menores,1
2022,Interior,Electorales,0
2022,Interior,Evasión de presos,0
2022,Interior,Incesto,0
2022,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2022,Interior,Otros delitos contra el patrimonio,0
2022,Interior,Otros delitos contra la sociedad,0
2022,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2022,Interior,Rapto,0
2022,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2023,AMG,Robo,35079
2023,AMG,Otros delitos del Fuero Común,14584
2023,AMG,Violencia familiar,12486
2023,AMG,Fraude,8012
2023,AMG,Amenazas,7459
2023,AMG,Lesiones,7015
2023,AMG,Abuso sexual,3882
2023,AMG,Daño a la propiedad,1847
2023,AMG,Narcomenudeo,1597
2023,AMG,Homicidio,1573
2023,AMG,Abuso de confianza,1382
